epoch,total_smiles,valid_smiles,min_similarity,max_similarity,avg_similarity,median_similarity,std_similarity
1,8,8,0.3927710843373494,0.5220468154599891,0.443537801671094,0.42755605499271326,0.04677756725434967
2,34,34,0.04411764705882353,0.19684447783621337,0.12497302805861817,0.19684447783621337,0.07623118426716895
3,1,1,0.30612244897959184,0.30612244897959184,0.30612244897959184,0.30612244897959184,0.0
4,35,35,0.47962962962962963,0.5418079096045197,0.5199753835534456,0.5174216027874564,0.015400870381997426
5,22,22,0.5304597701149425,0.5482261640798226,0.5375541029410429,0.5387868316756914,0.005860182034998132
6,22,22,0.5304597701149425,0.5482261640798226,0.5392277914527369,0.5396736072031514,0.006228099241023203
7,20,20,0.5304597701149425,0.5482261640798226,0.5397118856692742,0.5407407584038355,0.00690106731476416
8,23,23,0.5304597701149425,0.5489762036524627,0.5410782807104598,0.5418079096045197,0.006621768772269904
9,27,27,0.5304597701149425,0.5514541387024608,0.5423913034419988,0.5438100621820238,0.00617221294527884
10,32,32,0.5304597701149425,0.5533980582524272,0.5431508997676404,0.5438100621820238,0.00668604799293364
11,32,32,0.48789131718842293,0.5547722342733189,0.5439516967767277,0.5467980295566502,0.011686452630690423
12,27,27,0.5304597701149425,0.5533980582524272,0.544519950794126,0.5458100558659218,0.005707186217914811
13,27,27,0.5304597701149425,0.5533980582524272,0.5440752030248812,0.5458100558659218,0.006811685059299683
14,28,28,0.5304597701149425,0.5533980582524272,0.5446064564671456,0.546304042711286,0.006039197885203661
15,35,35,0.5304597701149425,0.5533980582524272,0.5452673529596369,0.5467980295566502,0.005418551782312728
16,26,26,0.5304597701149425,0.5533980582524272,0.5445809545410333,0.546304042711286,0.005865558173936346
17,39,39,0.5304597701149425,0.5541195476575121,0.5470018510832626,0.547975596228508,0.005925143510474127
18,33,33,0.5304597701149425,0.5541195476575121,0.5463234770893832,0.5477920626048072,0.005679840318202832
19,36,36,0.5304597701149425,0.553821313240043,0.5451520847142711,0.5467980295566502,0.006062684581863355
20,37,37,0.5304597701149425,0.5541195476575121,0.5454115866647342,0.5463973799126638,0.00637303379934053
21,34,34,0.5304597701149425,0.5541195476575121,0.5448037653912151,0.5458100558659218,0.00632917064691944
22,35,35,0.495911214953271,0.5541195476575121,0.543351324138251,0.5458100558659218,0.010343360899755688
23,26,26,0.5304597701149425,0.5533980582524272,0.5456134057097477,0.5464899335933382,0.005497591760336933
24,31,31,0.5304597701149425,0.5533980582524272,0.5452190029111591,0.5471698113207547,0.0055391626892080095
25,20,20,0.5304597701149425,0.5525727069351231,0.5448866270489612,0.5464899335933382,0.005698973472428827
26,30,30,0.495911214953271,0.5576392719249862,0.5440421071623779,0.5464899335933382,0.010890819763846682
27,15,15,0.5396736072031514,0.5525727069351231,0.5463540701667814,0.5471698113207547,0.003870829127630636
28,30,30,0.5304597701149425,0.5576392719249862,0.5459990877863043,0.5471698113207547,0.006648363308071003
29,30,30,0.5304597701149425,0.5576392719249862,0.5454634000402124,0.5471698113207547,0.006829987042885736
30,30,30,0.5081699346405228,0.5576392719249862,0.5434568696066414,0.5464899335933382,0.01111054645844946
31,27,27,0.5304597701149425,0.5576392719249862,0.5448291790748132,0.5458100558659218,0.0067965226405704285
32,41,41,0.4983425414364641,0.5595369349503859,0.5422310199719131,0.5458100558659218,0.014302038613108048
33,37,37,0.5021978021978022,0.5576392719249862,0.540092287912224,0.5471698113207547,0.016183990774961986
34,44,44,0.5081699346405228,0.5595369349503859,0.5440734894439688,0.5471698113207547,0.011774262551814758
35,47,47,0.5081699346405228,0.5595369349503859,0.539625321464705,0.5426136363636364,0.013757845686352122
36,45,45,0.5304597701149425,0.5595369349503859,0.5454810371450519,0.5471698113207547,0.006758991773687971
37,41,41,0.4983425414364641,0.5565361279646994,0.5406078622576277,0.5443252399774139,0.01415476408477037
38,43,43,0.4983425414364641,0.5595369349503859,0.5410265795882375,0.5443252399774139,0.014006639766527699
39,38,38,0.5089722675367048,0.5595369349503859,0.5449373958355991,0.5471698113207547,0.00942635032299619
40,36,36,0.4983425414364641,0.5595369349503859,0.5421595107708375,0.5440676510797189,0.013482075469577528
41,39,39,0.4983425414364641,0.5576392719249862,0.5387691048712211,0.5438100621820238,0.015693321027564936
42,37,37,0.5081699346405228,0.5595369349503859,0.5443744447429899,0.5471698113207547,0.010991399373938667
43,47,47,0.5081699346405228,0.5595369349503859,0.5440792120583279,0.5471698113207547,0.010581973897563256
44,39,39,0.5081699346405228,0.5595369349503859,0.5443620087399422,0.5477920626048072,0.012771081963755523
45,35,35,0.5062944718117132,0.5534729878721059,0.538982296020094,0.5438100621820238,0.014356391087966717
46,35,35,0.5062944718117132,0.5595369349503859,0.5435132663208632,0.5477920626048072,0.013124487820359352
47,42,42,0.5021978021978022,0.5595369349503859,0.5394631571301317,0.5471698113207547,0.01709459631831975
48,39,39,0.4983425414364641,0.5595369349503859,0.5376213113126158,0.5426136363636364,0.016563319941517024
49,44,44,0.5062944718117132,0.5576392719249862,0.542124989245491,0.5440676510797189,0.011376502559717743
50,40,40,0.5062944718117132,0.5576392719249862,0.5387320156934681,0.5440676510797189,0.015164794846714576
