epoch,total_smiles,valid_smiles,min_similarity,max_similarity,avg_similarity,median_similarity,std_similarity
1,8,8,0.0818109610802224,0.3622895622895623,0.29151886308107544,0.3143306833247021,0.0810804472596901
2,10,10,0.19684447783621337,0.30158730158730157,0.21243604278098133,0.19684447783621337,0.0334047126059424
3,27,27,0.19684447783621337,0.4936998854524628,0.4038489200983154,0.47465712581991654,0.11905479783624226
4,21,21,0.5005910165484634,0.530729465824239,0.5178084339981793,0.5174216027874564,0.010472483602580898
5,37,37,0.5005910165484634,0.5482261640798226,0.5288347923348914,0.530729465824239,0.014798111815047817
6,31,31,0.5304597701149425,0.5482261640798226,0.5397698405450135,0.5396736072031514,0.006357593699193
7,24,24,0.5304597701149425,0.5482261640798226,0.5406892263080992,0.5407407584038355,0.006034650778429988
8,27,27,0.5304597701149425,0.5482261640798226,0.5394123559130689,0.5396736072031514,0.006099125441200093
9,23,23,0.5304597701149425,0.5482261640798226,0.5402653084238258,0.541196388261851,0.005800249900871869
10,30,30,0.5304597701149425,0.5533980582524272,0.542049533125642,0.5426136363636364,0.006347784756567888
11,26,26,0.5304597701149425,0.5533980582524272,0.545521309197193,0.5475727037746314,0.0056361908720516446
12,28,28,0.5304597701149425,0.5514541387024608,0.54338726819146,0.5458100558659218,0.006226261937351702
13,29,29,0.5304597701149425,0.5547722342733189,0.5445902543844605,0.5458100558659218,0.005455962442127573
14,34,34,0.5304597701149425,0.5514541387024608,0.5430629547550191,0.5437629545882796,0.0053485528816908465
15,42,42,0.5304597701149425,0.5541195476575121,0.5441394254344835,0.5458100558659218,0.006085889513348115
16,35,35,0.5304597701149425,0.5533980582524272,0.544456008256452,0.5458100558659218,0.005673406914451396
17,37,37,0.5304597701149425,0.5533980582524272,0.5453490634137057,0.5467980295566502,0.005322819246277897
18,45,45,0.5304597701149425,0.5533980582524272,0.5429460691211121,0.5426136363636364,0.0061057906720669375
19,37,37,0.5304597701149425,0.5533980582524272,0.5457540321145089,0.5471698113207547,0.005346608355143607
20,38,38,0.5304597701149425,0.5533980582524272,0.5449286331191595,0.546304042711286,0.005388638032719952
21,40,40,0.5304597701149425,0.5525727069351231,0.5449983520955259,0.5467980295566502,0.0050880426117691675
22,33,33,0.5304597701149425,0.5533980582524272,0.5450561671636289,0.5467980295566502,0.005439767219210637
23,34,34,0.5304597701149425,0.5525727069351231,0.544739252218112,0.5458100558659218,0.005271919156402082
24,36,36,0.5304597701149425,0.5525727069351231,0.5442804658163195,0.5448100590239728,0.005259955153993512
25,40,40,0.5304597701149425,0.5525727069351231,0.5457839790688206,0.5474809369627809,0.005013834142179654
